     0		     1		     2		     3		     4		     5		     6		     7		     8		     9		    10		    11		    12		    13		    14		    15		    16		    17		    18		    19		    20		    21		    22		    23		    24		    25		    26		    27		    28		    29		    30		    31		    32		    33		    34		    35		
0.368677	0.510578	0.227902	0.661982	0.057310	0.912677	0.315437	0.418383	1.005908	0.780565	0.234298	0.462029	0.782319	0.611575	1.024560	0.555363	0.932323	0.155261	0.756796	0.257659	1.048000	1.048000	1.048000	0.610947	0.209414	0.191323	0.684868	0.487077	0.308505	0.616996	0.716958	0.401510	0.296431	0.572559	0.958516	0.352016	
0.417939	0.559557	0.477046	0.710658	0.107195	0.960852	0.364806	0.667146	0.050000	0.829004	0.283830	0.511105	0.830755	0.859952	0.050000	0.803852	0.050000	0.204951	0.805283	0.506744	0.050000	0.050000	0.050000	0.659726	0.258996	0.240940	0.733498	0.536103	0.357888	0.665762	0.765524	0.450707	0.345839	0.621414	1.006599	0.600912	
0.467103	0.608438	0.526092	0.759237	0.156981	1.008930	0.414076	0.715812	0.099900	0.877346	0.333262	0.759682	0.879093	0.908232	0.099900	0.852244	0.099900	0.254541	0.853672	0.555730	0.099900	0.099900	0.099900	0.708406	0.308478	0.290458	0.782031	0.585031	0.606772	0.714431	0.813993	0.499805	0.395147	0.869771	0.050000	0.649710	
0.516169	0.657221	0.575040	0.807718	0.406267	0.050000	0.463248	0.764380	0.149700	0.925591	0.382595	0.808163	0.927335	0.956415	0.149700	0.900540	0.149700	0.304032	0.901965	0.604619	0.149700	0.149700	0.149700	0.756989	0.357861	0.339877	0.830467	0.633860	0.655558	0.763002	0.862365	0.548806	0.444357	0.918031	0.099900	0.698411	
0.565137	0.705906	0.623890	0.856103	0.455454	0.099900	0.512322	0.812852	0.199401	0.973740	0.431830	0.856547	0.975480	1.004503	0.399001	0.948739	0.199401	0.353423	0.950161	0.853010	0.199401	0.199401	0.199401	0.805475	0.407145	0.389197	0.878806	0.682593	0.704247	0.811476	0.910640	0.597708	0.493468	0.966195	0.149700	0.747014	
0.614006	0.754494	0.672642	0.904391	0.504543	0.149700	0.561297	0.050000	0.249002	1.021793	0.680567	0.904834	0.050000	0.050000	0.448203	1.048000	0.448602	0.402717	0.998260	0.901304	0.249002	0.448602	0.249002	0.853864	0.456331	0.438419	0.927048	0.731228	0.752839	0.859853	0.958819	0.646513	0.542481	1.014263	0.399001	0.795520	
0.662778	0.802986	0.721297	0.050000	0.553534	0.199401	0.610174	0.099900	0.498104	0.050000	0.729205	0.953024	0.099900	0.099900	0.696906	0.050000	0.497705	0.451911	1.046264	1.048000	0.498104	0.497705	0.298504	0.902157	0.705018	0.687142	0.975194	0.979365	0.801333	0.908133	1.006901	0.894820	0.790996	0.050000	0.448203	0.843929	
0.711453	0.851380	0.769854	0.099900	0.602427	0.249002	0.658954	0.149700	0.547108	0.099900	0.777747	1.001118	0.349300	0.349300	0.745513	0.099900	0.546709	0.700607	0.050000	0.050000	0.547108	0.546709	0.347907	0.950352	0.953208	0.735768	1.023244	1.048000	1.048000	1.048000	0.050000	0.943030	1.039014	0.499100	0.696906	1.048000	
0.760030	0.899677	0.818315	0.149700	0.651222	0.498104	0.707636	0.199401	0.596014	0.149700	1.025791	0.249600	0.398602	0.398602	0.794022	0.149700	0.795216	0.749206	0.099900	0.099900	0.795614	0.795216	0.596811	0.050000	1.001302	1.048000	0.249600	0.050000	0.050000	0.050000	0.299500	0.249600	0.050000	0.548102	0.945113	0.050000	
0.808510	0.947877	0.866678	0.199401	0.899520	0.547108	0.756221	0.249002	0.644822	0.399001	0.050000	0.299101	0.447804	0.447804	0.842434	0.199401	0.843626	0.797708	0.349300	0.349300	0.844022	0.843626	0.645618	0.099900	0.050000	0.050000	0.299101	0.099900	0.099900	0.099900	0.348901	0.299101	0.099900	0.597006	0.993222	0.099900	
